"","Reef2","year","time_since_closure","rugosity","year_established","Reef","mean.biomass","SD","time_since_closure.x","mean.biomass.ha","SD.ha","time_since_closure.y","ben_pc1","long","lat","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","tsa_max.y","tsa_max.lag.sc","npp_mean_sc","ben_pc1_sc","rugosity_sc","time_since_closure_sc","log.biomass"
"11","Malindi",1992,24,1.23333333333333,1968,"Malindi",558.274,85.0882813905652,24,1116.548,170.17656278113,24,-0.00123060674226782,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.236130804,0.00532944547676757,2.79658489508401,-0.350070722243407,-1.39047822608335,-0.270227607182345,3.04787739797355
"12","Malindi",1993,25,1.3,1968,"Malindi",697.932,74.2665528350414,25,1395.864,148.533105670083,25,0.0464085392654182,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.059729411,-0.830629496151453,2.79658489508401,-0.312044421346323,-0.252826081588496,-0.18932395455334,3.14484310673501
"13","Malindi",1994,26,1.3,1968,"Malindi",1255.505,148.688494399085,26,2511.01,297.376988798169,26,-0.210619091439298,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.092062744,-0.921987973782495,2.79658489508401,-0.517207839314925,-0.252826081588496,-0.108420301924335,3.39984844227731
"14","Malindi",1995,27,1.3150117351566,1968,"Malindi",909.37,184.833713916049,27,1818.74,369.667427832099,27,0.148740283939662,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.398937256,0.465342324545911,2.79658489508401,-0.230361644881804,0.00334590881396951,-0.0275166492953302,3.25977061844998
"15","Malindi",1996,28,1.3,1968,"Malindi",846.5475,152.813050789737,28,1693.095,305.626101579473,28,0.327750219532181,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.216062744,-1.27235244830942,2.79658489508401,-0.0874731541160267,-0.252826081588496,0.0533870033336746,3.22868132716875
"16","Malindi",1997,29,1.25,1968,"Malindi",675.2275,109.05956579625,29,1350.455,218.119131592501,29,-0.192558053845931,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.166937256,-0.190178305214151,2.79658489508401,-0.502791240622578,-1.10606518995964,0.134290655962679,3.13048011715931
"17","Malindi",1999,31,1.35,1968,"Malindi",896.075,94.1186855340992,31,1792.15,188.237371068198,31,-0.500368809687138,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,0.201937256,-0.0912851067589689,2.79658489508401,-0.74849053210627,0.600413026782644,0.296097961220689,3.25337435657944
"18","Malindi",2000,32,1.35,1968,"Malindi",466.56,110.300890597795,32,933.12,220.601781195589,32,-1.84460021875029,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.07580468,-0.876050489506808,2.79658489508401,-1.82147676968701,0.600413026782644,0.377001613849694,2.96993749796584
"19","Malindi",2001,33,1.3,1968,"Malindi",679.415,203.058436006321,33,1358.83,406.116872012643,33,-2.33823500695308,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,-0.481933712,-2.02357617407786,2.79658489508401,-2.21550366904494,-0.252826081588496,0.457905266478699,3.13316512657791
"20","Malindi",2002,34,1.35,1968,"Malindi",537.675,136.723424352474,34,1075.35,273.446848704948,34,-2.83228186947228,40.14704,-3.24628,2113.900745,1292.65601,3911.933241,543.6045478,258.1820046,2,1.208937256,2.7540134887944,2.79658489508401,-2.60985949247603,0.600413026782644,0.538808919107704,3.03154983944172
